ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
PICK-UP A,0.33,0.04,0.02,1.35,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,8,0.4,N
STACK A E,0.5,0.01,0.06,1.45,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,8,0.4,N
PICK-UP P,0.5,0.02,0.12,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,7,0.2,N
STACK P A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.2,N
PICK-UP O,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.1,N
STACK O P,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.1,N
PICK-UP P,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK P E,0.5,0.25,0.15,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,6,0.5,N
PICK-UP O,0.5,0.0,0.3,1.2,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,6,0.4,N
STACK O P,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
STACK A O,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
PICK-UP P,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK P E,0.5,0.25,0.15,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,6,0.5,N
PICK-UP O,0.5,0.0,0.3,1.2,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,6,0.4,N
STACK O P,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
PICK-UP P,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK P E,0.5,0.25,0.15,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,6,0.5,N
PICK-UP O,0.5,0.0,0.3,1.2,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,6,0.4,N
STACK O P,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP E,0.33,0.02,0.03,1.32,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,9,0.4,N
STACK E A,0.5,0.01,0.06,1.45,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,8,0.5,N
PICK-UP P,0.5,0.02,0.12,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,7,0.3,N
STACK P E,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.4,N
PICK-UP O,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.3,N
STACK O P,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
PICK-UP P,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,5,0.4,N
STACK P E,0.5,0.25,0.15,1.6,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,6,0.5,N
PICK-UP A,0.5,0.5,0.0,2.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,14,0.3,N
STACK A P,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.4,Y
PICK-UP O,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.3,Y
STACK O A,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.3,Y
