ob,c,r,d,fo,0.0<=x<0.03,0.03<=x<0.13,0.13<=x<0.23,0.23<=x<0.33,0.33<=x<0.43,0.43<=x<0.53,0.53<=x<0.63,0.63<=x<0.73,0.73<=x<0.83,0.83<=x<0.93,0.93<=x<1.03,dToCritical,dToDesirable,hasLM,Label
PICK-UP E,0.33,0.0,0.07,1.26,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,5,0.5,N
STACK E P,0.5,0.0,0.13,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,8,0.5,N
PICK-UP R,0.5,0.0,0.19,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,10,0.3,N
STACK R E,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.4,N
PICK-UP P,0.33,0.0,0.04,1.29,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,10,0.4,N
STACK P A,0.5,0.0,0.05,1.45,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,8,0.5,N
PICK-UP E,0.5,0.0,0.1,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,7,0.4,N
STACK E P,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,2,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,1,0.2,N
STACK R E,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.3,N
PICK-UP E,0.33,0.0,0.07,1.26,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,5,0.5,N
STACK E P,0.5,0.0,0.13,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,8,0.5,N
PICK-UP A,0.5,0.0,0.06,1.44,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,13,0.3,N
STACK A E,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,2,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,1,0.2,N
STACK R A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.3,N
PICK-UP E,0.33,0.0,0.07,1.26,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,5,0.5,N
STACK E P,0.5,0.0,0.13,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,8,0.5,N
PICK-UP R,0.5,0.0,0.19,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,10,0.3,N
STACK R E,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.4,N
PICK-UP A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.2,N
STACK A R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.2,N
PICK-UP A,0.33,0.0,0.03,1.3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,8,0.4,N
STACK A P,0.5,0.0,0.05,1.45,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,8,0.5,N
PICK-UP E,0.5,0.0,0.1,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,7,0.4,N
STACK E A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,2,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,1,0.2,N
STACK R E,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.3,N
PICK-UP E,0.33,0.0,0.07,1.26,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,5,0.5,N
STACK E P,0.5,0.0,0.13,1.37,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,8,0.5,N
PICK-UP R,0.5,0.0,0.19,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,10,0.3,N
STACK R E,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.4,N
PICK-UP A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,-1,0,0.2,N
