ob,r,d,dToCritical,dToDesirable,hasLM,Label
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A W,0.25,0.11,2,9,0.5,N
PICK-UP D,0.0,0.25,15,8,0.4,N
STACK D A,0.0,1.0,-1,0,0.4,N
PICK-UP R,0.0,1.0,-1,0,0.2,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A W,0.25,0.11,2,9,0.5,N
PICK-UP R,0.5,0.0,1,14,0.3,N
STACK R A,1.0,0.0,0,-1,0.4,Y
PICK-UP D,1.0,0.0,0,-1,0.3,Y
STACK D R,1.0,0.0,0,-1,0.3,Y
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A W,0.25,0.11,2,9,0.5,N
PICK-UP D,0.0,0.25,15,8,0.4,N
STACK D A,0.0,1.0,-1,0,0.4,N
PICK-UP R,0.08,0.02,5,9,0.4,N
STACK R W,0.01,0.06,8,8,0.4,N
PICK-UP A,0.02,0.12,7,7,0.2,N
STACK A R,0.0,1.0,-1,2,0.2,N
PICK-UP D,0.0,1.0,-1,1,0.1,N
STACK D A,0.0,1.0,-1,0,0.1,N
PICK-UP W,0.04,0.04,9,9,0.4,N
STACK W R,0.01,0.06,8,8,0.5,N
PICK-UP A,0.02,0.12,7,7,0.3,N
STACK A W,0.0,1.0,-1,2,0.4,N
PICK-UP D,0.0,1.0,-1,1,0.3,N
STACK D A,0.0,1.0,-1,0,0.3,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A W,0.25,0.11,2,9,0.5,N
PICK-UP D,0.0,0.25,15,8,0.4,N
STACK D A,0.0,1.0,-1,0,0.4,N
PICK-UP R,0.0,1.0,-1,0,0.2,N
STACK R D,0.0,1.0,-1,0,0.3,N
PICK-UP W,0.04,0.02,5,8,0.4,N
STACK W R,0.01,0.06,8,8,0.4,N
PICK-UP A,0.02,0.12,7,7,0.2,N
STACK A W,0.0,1.0,-1,2,0.2,N
PICK-UP C,0.0,1.0,-1,1,0.1,N
STACK C A,0.0,1.0,-1,0,0.1,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.13,2,8,0.5,N
PICK-UP W,0.5,0.01,1,14,0.3,N
STACK W A,1.0,0.0,0,-1,0.4,Y
PICK-UP C,1.0,0.0,0,-1,0.3,Y
STACK C W,1.0,0.0,0,-1,0.3,Y
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.13,2,8,0.5,N
PICK-UP C,0.0,0.25,15,8,0.4,N
STACK C A,0.0,1.0,-1,0,0.4,N
PICK-UP W,0.0,1.0,-1,0,0.2,N
PICK-UP R,0.02,0.02,9,9,0.4,N
STACK R W,0.01,0.06,8,8,0.5,N
PICK-UP A,0.02,0.12,7,7,0.3,N
STACK A R,0.0,1.0,-1,2,0.4,N
PICK-UP C,0.0,1.0,-1,1,0.3,N
STACK C A,0.0,1.0,-1,0,0.3,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.13,2,8,0.5,N
PICK-UP C,0.0,0.25,15,8,0.4,N
STACK C A,0.0,1.0,-1,0,0.4,N
PICK-UP W,0.0,1.0,-1,0,0.2,N
STACK W C,0.0,1.0,-1,0,0.3,N
PICK-UP A,0.08,0.07,3,5,0.4,N
STACK A R,0.25,0.13,2,8,0.5,N
PICK-UP C,0.0,0.25,15,8,0.4,N
STACK C A,0.0,1.0,-1,0,0.4,N
PICK-UP E,0.0,0.07,-1,5,0.5,N
STACK E D,0.0,0.13,-1,8,0.5,N
PICK-UP W,0.0,0.17,-1,11,0.3,N
STACK W E,0.0,1.0,-1,0,0.4,N
PICK-UP A,0.0,1.0,-1,0,0.2,N
PICK-UP D,0.0,0.04,-1,10,0.4,N
STACK D A,0.0,0.05,-1,8,0.5,N
PICK-UP E,0.0,0.1,-1,7,0.4,N
STACK E D,0.0,1.0,-1,2,0.4,N
PICK-UP W,0.0,1.0,-1,1,0.2,N
STACK W E,0.0,1.0,-1,0,0.3,N
PICK-UP A,0.0,0.03,-1,8,0.4,N
STACK A D,0.0,0.05,-1,8,0.5,N
PICK-UP E,0.0,0.1,-1,7,0.4,N
STACK E A,0.0,1.0,-1,2,0.4,N
PICK-UP W,0.0,1.0,-1,1,0.2,N
STACK W E,0.0,1.0,-1,0,0.3,N
PICK-UP E,0.0,0.07,-1,5,0.5,N
STACK E D,0.0,0.13,-1,8,0.5,N
PICK-UP A,0.0,0.06,-1,13,0.3,N
STACK A E,0.0,1.0,-1,2,0.4,N
PICK-UP W,0.0,1.0,-1,1,0.2,N
STACK W A,0.0,1.0,-1,0,0.3,N
PICK-UP E,0.0,0.07,-1,5,0.5,N
