ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
SAIL L4 L2,0.5,0.06,0.01,1.55,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,9,0.33,N
SAIL L2 L1,0.33,0.11,0.01,1.43,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,8,0.5,N
BOARD C1 L1,0.33,0.3,0.01,1.62,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,8,0.33,N
SAIL L1 L4,0.33,0.33,0.01,1.65,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,6,0.33,N
DEBARK C1 L4,0.33,0.01,0.0,1.34,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,20,0.33,N
SAIL L4 L1,0.33,0.02,0.0,1.35,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,18,0.33,N
BOARD C2 L1,0.33,0.06,0.0,1.3900000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,17,0.17,N
SAIL L1 L4,0.33,0.03,0.08,1.28,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,7,0.17,N
SAIL L4 L2,0.5,0.0,0.02,1.48,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,17,0.0,N
DEBARK C2 L2,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.17,N
SAIL L4 L1,0.25,0.08,0.01,1.32,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,8,0.5,N
BOARD C2 L1,0.33,0.02,0.01,1.34,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,12,0.33,N
SAIL L1 L2,0.33,0.02,0.01,1.34,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,11,0.17,N
DEBARK C2 L2,0.33,0.07,0.0,1.4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,18,0.33,N
SAIL L2 L1,0.33,0.2,0.0,1.53,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,17,0.5,N
BOARD C1 L1,0.33,0.61,0.01,1.93,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,16,0.33,N
SAIL L1 L4,0.33,0.33,0.01,1.65,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,16,0.33,N
DEBARK C1 L4,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.33,N
SAIL L4 L1,0.25,0.08,0.01,1.32,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,8,0.5,N
BOARD C1 L1,0.33,0.3,0.01,1.62,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,8,0.33,N
SAIL L1 L4,0.33,0.33,0.01,1.65,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,6,0.33,N
DEBARK C1 L4,0.33,0.01,0.0,1.34,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,8,20,0.33,N
SAIL L4 L1,0.33,0.02,0.0,1.35,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6,18,0.33,N
BOARD C2 L1,0.33,0.06,0.0,1.3900000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,17,0.17,N
