o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
SAIL L4 L2,0.5,0.04,0.01,1.53,4,10,0.5,N
SAIL L2 L1,0.33,0.09,0.02,1.4,3,9,0.5,N
BOARD C1 L1,0.33,0.02,0.02,1.33,6,10,0.33,N
SAIL L1 L3,0.33,0.02,0.03,1.32,5,8,0.17,N
DEBARK C1 L3,0.33,0.07,0.01,1.3900000000000001,5,17,0.33,N
SAIL L3 L2,0.5,0.07,0.01,1.56,4,17,0.5,N
SAIL L2 L1,0.5,0.15,0.01,1.6400000000000001,3,16,0.5,N
BOARD C2 L1,0.33,0.3,0.03,1.6,2,15,0.33,N
SAIL L1 L2,0.33,1.0,0.0,2.33,0,-1,0.33,Y
SAIL L2 L4,0.5,0.0,0.01,1.49,10,16,0.33,N
DEBARK C2 L4,1.0,0.0,1.0,1.0,-1,0,0.33,N
