@relation aggregate

@attribute r numeric
@attribute d numeric
@attribute dToCritical numeric
@attribute dToDesirable numeric
@attribute hasLM numeric
@attribute Label {N,Y}

@data
0,0,-1,12,0.4,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,7,10,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.04,0.01,6,11,0,N
0.13,0,5,18,0.2,N
0.53,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.04,0.01,6,11,0,N
0.13,0,5,18,0.2,N
0.53,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,7,10,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.02,0.01,5,8,0,N
0.06,0.01,5,9,0,N
0.13,0,5,18,0.2,N
0.54,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,12,0.4,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.02,0.01,5,8,0,N
0.06,0.01,5,9,0,N
0.13,0,5,18,0.2,N
0.54,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,7,10,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.04,0.01,6,11,0,N
0.13,0,5,18,0.2,N
0.53,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.02,0.01,5,8,0,N
0.06,0.01,5,9,0,N
0.13,0,5,18,0.2,N
0.54,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,12,0.4,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.5,0.01,2,6,0.2,N
0.01,0,10,15,0.2,N
0.02,0.01,9,14,0.4,N
0.07,0.04,8,13,0.2,N
0.05,0.04,8,13,0,N
0,1,-1,0,0.2,N
0,0,-1,12,0.4,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.04,0.01,6,11,0,N
0.13,0,5,18,0.2,N
0.53,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,12,0.4,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.25,0,3,16,0.2,N
0.01,0,8,11,0.2,N
0.01,0,7,10,0.2,N
0.01,0,6,9,0.4,N
0.02,0.01,5,8,0.2,N
0.02,0.01,5,8,0,N
0.06,0.01,5,9,0,N
0.13,0,5,18,0.2,N
0.54,0,4,17,0.2,N
0.4,0.01,4,16,0.2,N
0,1,-1,0,0.2,N
0,0,-1,11,0.6,N
0.67,0,2,7,0.4,N
0.5,0.01,2,6,0.2,N
0.01,0,10,15,0.2,N
0.02,0.01,9,14,0.4,N
0.07,0.04,8,13,0.2,N
0.05,0.04,8,13,0,N
0,1,-1,0,0.2,N
0.03,0.01,7,9,0.5,N
0.05,0.01,6,8,0.5,N
0.05,0,7,20,0.33,N
0.02,0.01,5,8,0.17,N
0.04,0.01,5,10,0.33,N
0.07,0,5,17,0.5,N
0.1,0,4,16,0.5,N
0.29,0.01,3,15,0.33,N
1,0,0,-1,0.33,Y
0.01,0.02,9,14,0.17,N
0,1,-1,0,0.17,N
0.04,0.01,6,8,0.5,N
0.05,0,7,20,0.33,N
0.02,0.01,5,8,0.17,N
