@relation tk_aggregate

@attribute R1 numeric
@attribute D1 numeric
@attribute R2 numeric
@attribute D2 numeric
@attribute R3 numeric
@attribute D3 numeric
@attribute R4 numeric
@attribute D4 numeric
@attribute R5 numeric
@attribute D5 numeric
@attribute R6 numeric
@attribute D6 numeric
@attribute R7 numeric
@attribute Label {N,Y}

@data
0.43,0.24,0.37,0.11,0.43,0.29,5,10,0.12,0.11,0.4,0.45,1.25,N
0.43,0.18,0.27,0.11,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.75,N
0.43,0.18,0.42,0.16,0.45,0.21,5,10,0,0.28,0.2,0.5,1,N
0.38,0.17,0.38,0.1,0.39,0.19,6,11,0.1,0.5,0.33,0.55,1,N
0.3,0.08,0.18,0.08,0.31,0.2,8,13,0.5,0.38,0.62,0.58,1.25,N
0.18,0,0.17,0.08,0.25,0.16,10,13,0.61,0.5,0.55,0.62,0.75,N
0.23,0.08,0.21,0.08,0.2,0.16,12,13,0.59,0.79,0.67,0.85,0.75,N
0.14,0,0.23,0.08,0.19,0.15,13,14,0.62,0.77,0.69,0.86,1.25,N
0.07,0,0.16,0.11,0.21,0.16,13,14,0.67,0.73,0.65,0.79,1.25,N
0.07,0,0.12,0.11,0.21,0.16,13,14,0.71,0.73,0.77,0.79,1.25,N
0.07,0,0.19,0.11,0.21,0.16,13,14,0.62,0.73,0.69,0.79,1,N
0,-0.07,0.19,0.11,0.2,0.19,14,14,0.65,0.77,0.71,0.79,1,N
-0.06,-0.07,0.1,0.11,0.17,0.19,16,14,0.77,0.69,0.81,0.71,1.25,N
0.5,0.2,0.3,0.21,0.52,0.31,4,9,0,0.06,0.25,0.39,0.75,N
0.5,0.2,0.45,0.22,0.52,0.23,4,9,0,0.19,0,0.44,1,N
0.43,0.2,0.42,0.21,0.45,0.23,5,9,0,0.62,0.2,0.78,1,N
0.33,0.2,0.19,0.21,0.35,0.23,7,9,0.42,0.62,0.57,0.78,1.25,N
0.27,0.11,0.18,0.16,0.27,0.24,9,9,0.56,0.56,0.5,0.67,0.75,N
0.25,0.2,0.22,0.16,0.21,0.24,11,9,0.55,0.56,0.64,0.67,0.75,N
0.15,0.11,0.24,0.16,0.2,0.27,12,9,0.59,0.62,0.67,0.67,1.25,N
0.15,0.1,0.17,0.16,0.21,0.27,12,9,0.68,0.5,0.62,0.56,1.25,N
0.43,0.24,0.37,0.11,0.43,0.29,5,10,0.12,0.11,0.4,0.45,1.25,N
0.43,0.18,0.27,0.11,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.75,N
0.43,0.18,0.42,0.16,0.45,0.21,5,10,0,0.28,0.2,0.5,1,N
0.38,0.17,0.38,0.1,0.39,0.19,6,11,0.1,0.5,0.33,0.55,1,N
0.3,0.08,0.18,0.08,0.31,0.2,8,13,0.5,0.38,0.62,0.58,1.25,N
0.18,0,0.17,0.08,0.25,0.16,10,13,0.61,0.5,0.55,0.62,0.75,N
0.23,0.08,0.21,0.08,0.2,0.16,12,13,0.59,0.79,0.67,0.85,0.75,N
0.15,0.07,0.17,0.12,0.22,0.17,12,13,0.64,0.71,0.62,0.77,1.25,N
0.08,0.07,0.12,0.12,0.22,0.17,12,13,0.68,0.71,0.75,0.77,1.25,N
0.11,0.07,0.2,0.12,0.22,0.17,12,13,0.59,0.71,0.67,0.77,1,N
0.07,0.07,0.19,0.12,0.21,0.2,13,13,0.62,0.75,0.69,0.77,1,N
0.06,0.07,0.1,0.12,0.18,0.2,15,13,0.75,0.67,0.8,0.69,1.25,N
0.5,0.2,0.3,0.21,0.52,0.31,4,9,0,0.06,0.25,0.39,0.75,N
0.5,0.2,0.45,0.22,0.52,0.23,4,9,0,0.19,0,0.44,1,N
0.43,0.18,0.42,0.11,0.45,0.21,5,10,0,0.44,0.2,0.5,1,N
0.33,0.15,0.19,0.12,0.35,0.22,7,12,0.42,0.32,0.57,0.54,1.25,N
0.2,0.14,0.18,0.08,0.27,0.16,9,13,0.5,0.29,0.5,0.58,1.25,N
0.18,0.11,0.17,0.08,0.25,0.16,10,13,0.61,0.5,0.55,0.62,0.75,N
0.15,0.14,0.21,0.08,0.2,0.16,12,13,0.59,0.79,0.67,0.85,0.75,N
0.08,0.11,0.17,0.08,0.22,0.17,12,13,0.64,0.71,0.62,0.77,1.25,N
0.08,0.14,0.12,0.08,0.22,0.17,12,13,0.68,0.71,0.75,0.77,1.25,N
0.08,0.11,0.2,0.08,0.22,0.17,12,13,0.59,0.71,0.67,0.77,1,N
0.13,0.07,0.19,0.12,0.21,0.2,13,13,0.62,0.75,0.69,0.77,1,N
0.06,0.07,0.1,0.12,0.18,0.2,15,13,0.75,0.67,0.8,0.69,1.25,N
0.43,0.24,0.37,0.11,0.43,0.29,5,10,0.12,0.11,0.4,0.45,1.25,N
0.43,0.18,0.27,0.11,0.45,0.28,5,10,0.12,0.17,0.4,0.45,0.75,N
0.43,0.18,0.42,0.16,0.45,0.21,5,10,0,0.28,0.2,0.5,1,N
0.38,0.17,0.38,0.1,0.39,0.19,6,11,0.1,0.5,0.33,0.55,1,N
