o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.44,0.79,0.31,0.74,0.45,0.4,6.0,7.0,0.0,0.0,0.0,0.07,2.0,N
PICKUP PLACE_0_0 KEY_0,0.41,0.25,0.33,0.29,0.46,0.41,6.0,7.0,0.0,0.0,0.0,0.14,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.3,0.64,0.28,0.67,0.36,0.26,8.0,9.0,0.14,0.38,0.25,0.39,2.0,N
UNLOCK PLACE_1_0 PLACE_1_1 KEY_1 SHAPE_1,0.33,0.48,0.27,0.52,0.33,0.34,9.0,9.0,0.25,0.31,0.39,0.44,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.68,0.53,0.65,0.53,0.25,0.18,11.0,11.0,0.35,0.5,0.41,0.5,2.0,N
MOVE PLACE_2_0 PLACE_2_1,0.33,0.29,0.38,0.27,0.22,0.29,12.0,11.0,0.5,0.5,0.54,0.55,2.0,N
MOVE PLACE_2_1 PLACE_2_2,0.29,0.31,0.38,0.4,0.22,0.29,12.0,11.0,0.55,0.5,0.5,0.59,2.0,N
MOVE PLACE_2_2 PLACE_2_3,0.14,0.15,0.2,0.21,0.27,0.29,12.0,11.0,0.59,0.5,0.54,0.45,2.0,N
MOVE PLACE_2_3 PLACE_1_3,0.14,0.19,0.24,0.29,0.27,0.33,12.0,11.0,0.45,0.4,0.5,0.45,2.0,N
MOVE PLACE_1_3 PLACE_0_3,0.07,0.2,0.27,0.29,0.31,0.38,12.0,11.0,0.45,0.3,0.5,0.36,2.0,N
