@relation tk_aggregate

@attribute R1 numeric
@attribute D1 numeric
@attribute R2 numeric
@attribute D2 numeric
@attribute R3 numeric
@attribute D3 numeric
@attribute R4 numeric
@attribute D4 numeric
@attribute R5 numeric
@attribute D5 numeric
@attribute R6 numeric
@attribute D6 numeric
@attribute R7 numeric
@attribute Label {N,Y}

@data
0.33,0.22,0.38,0.36,0.37,0.34,7,8,0.08,0.21,0.21,0.25,2,N
0.3,0.32,0.39,0.39,0.33,0.28,8,9,0.21,0.31,0.31,0.33,2,N
0.73,0.68,0.68,0.65,0.28,0.2,9,10,0.31,0.39,0.39,0.4,2,N
0.3,0.25,0.28,0.32,0.3,0.26,9,10,0.25,0.44,0.39,0.45,2,N
0.57,0.53,0.5,0.52,0.29,0.21,10,11,0.33,0.45,0.45,0.5,2,N
0.17,0.15,0.23,0.22,0.31,0.29,10,11,0.39,0.45,0.5,0.55,2,N
0.17,0.09,0.19,0.18,0.31,0.29,10,11,0.44,0.5,0.5,0.55,2,N
0.24,0.15,0.19,0.18,0.31,0.29,10,11,0.33,0.5,0.4,0.55,2,N
0.29,0.15,0.26,0.28,0.38,0.33,10,11,0.33,0.4,0.4,0.45,1,Y
0.07,0.14,0.27,0.28,0.31,0.38,10,11,0.45,0.3,0.5,0.36,2,N
0.33,0.22,0.38,0.36,0.37,0.34,7,8,0.08,0.21,0.21,0.25,2,N
0.3,0.32,0.39,0.39,0.33,0.28,8,9,0.21,0.31,0.31,0.33,2,N
0.33,0.27,0.33,0.35,0.33,0.28,8,9,0.29,0.38,0.38,0.39,2,N
0.62,0.59,0.56,0.59,0.29,0.25,9,10,0.25,0.39,0.39,0.45,2,N
0.18,0.17,0.24,0.26,0.34,0.26,9,10,0.31,0.39,0.44,0.5,2,N
0.25,0.17,0.24,0.22,0.34,0.31,9,10,0.25,0.44,0.33,0.55,2,N
0.33,0.17,0.32,0.26,0.34,0.31,9,10,0.19,0.33,0.33,0.4,2,N
0.31,0.17,0.32,0.33,0.41,0.36,9,10,0.25,0.33,0.33,0.4,1,Y
0.08,0.15,0.32,0.33,0.33,0.4,9,10,0.4,0.22,0.45,0.3,2,N
0.33,0.22,0.38,0.36,0.37,0.34,7,8,0.08,0.21,0.21,0.25,2,N
0.3,0.32,0.39,0.39,0.33,0.28,8,9,0.21,0.31,0.31,0.33,2,N
0.73,0.68,0.68,0.65,0.28,0.2,9,10,0.31,0.39,0.39,0.4,2,N
0.3,0.25,0.28,0.32,0.3,0.26,9,10,0.25,0.44,0.39,0.45,2,N
0.18,0.22,0.24,0.26,0.33,0.26,9,10,0.31,0.33,0.44,0.4,2,N
0.29,0.53,0.19,0.5,0.29,0.29,11,11,0.45,0.4,0.55,0.45,2,N
0.27,0.23,0.23,0.24,0.27,0.3,12,11,0.45,0.25,0.5,0.32,2,N
0.14,0.22,0.2,0.24,0.27,0.38,12,11,0.5,0.3,0.58,0.41,2,N
0.15,0.14,0.2,0.27,0.27,0.38,12,11,0.45,0.35,0.5,0.45,2,N
0.26,0.29,0.23,0.27,0.31,0.38,12,11,0.41,0.2,0.5,0.27,2,N
