ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_3 PLACE_3_3,0.67,0.71,0.57,0.82,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.57,0.67,0.67,0.73,NaN,0.29,1.0,6.0,0.0,0.1,1.0,0.33,2.0,N
MOVE PLACE_3_4 PLACE_4_4,0.42,0.44,0.4,0.4,NaN,0.44,1.0,6.0,0.33,0.0,1.0,0.25,2.0,N
MOVE PLACE_4_4 PLACE_4_5,0.52,0.44,0.59,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_4_5 PLACE_5_5,0.53,0.4,0.52,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.67,0.71,0.57,0.82,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_3_3 PLACE_4_3,0.5,0.59,0.44,0.73,NaN,0.29,1.0,6.0,0.0,0.0,1.0,0.17,2.0,N
MOVE PLACE_4_3 PLACE_4_4,0.44,0.44,0.49,0.4,NaN,0.44,1.0,6.0,0.33,0.0,1.0,0.25,2.0,N
MOVE PLACE_4_4 PLACE_4_5,0.55,0.44,0.59,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_4_5 PLACE_5_5,0.53,0.4,0.52,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.67,0.71,0.57,0.82,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.57,0.67,0.67,0.73,NaN,0.29,1.0,6.0,0.0,0.1,1.0,0.33,2.0,N
MOVE PLACE_3_4 PLACE_4_4,0.42,0.44,0.4,0.4,NaN,0.44,1.0,6.0,0.33,0.0,1.0,0.25,2.0,N
MOVE PLACE_4_4 PLACE_5_4,0.5,0.44,0.46,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_5_4 PLACE_5_5,0.53,0.44,0.52,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.67,0.8,0.57,0.83,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.67,0.67,0.6,0.73,NaN,0.29,1.0,6.0,0.0,0.1,1.0,0.33,2.0,N
MOVE PLACE_3_4 PLACE_4_4,0.4,0.44,0.4,0.4,NaN,0.44,1.0,6.0,0.33,0.0,1.0,0.25,2.0,N
MOVE PLACE_4_4 PLACE_4_5,0.62,0.44,0.57,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_4_5 PLACE_5_5,0.53,0.4,0.5,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.67,0.71,0.57,0.82,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_3_3 PLACE_4_3,0.5,0.59,0.44,0.73,NaN,0.29,1.0,6.0,0.0,0.0,1.0,0.17,2.0,N
MOVE PLACE_4_3 PLACE_4_4,0.44,0.44,0.49,0.4,NaN,0.44,1.0,6.0,0.33,0.0,1.0,0.25,2.0,N
MOVE PLACE_4_4 PLACE_5_4,0.5,0.44,0.46,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_5_4 PLACE_5_5,0.53,0.44,0.52,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.67,0.71,0.57,0.82,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_3_3 PLACE_4_3,0.5,0.59,0.44,0.73,NaN,0.29,1.0,6.0,0.0,0.0,1.0,0.17,2.0,N
MOVE PLACE_4_3 PLACE_5_3,0.55,0.44,0.5,0.4,NaN,0.45,1.0,6.0,0.08,0.0,1.0,0.25,2.0,N
MOVE PLACE_5_3 PLACE_5_4,0.5,0.44,0.46,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_5_4 PLACE_5_5,0.53,0.44,0.52,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_3_3,0.67,0.71,0.57,0.82,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_3_3 PLACE_3_4,0.57,0.67,0.67,0.73,NaN,0.29,1.0,6.0,0.0,0.1,1.0,0.33,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.55,0.44,0.67,0.4,NaN,0.44,1.0,6.0,0.08,0.0,1.0,0.25,2.0,N
MOVE PLACE_3_5 PLACE_4_5,0.5,0.44,0.59,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_4_5 PLACE_5_5,0.53,0.4,0.52,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.67,0.8,0.57,0.83,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.55,0.44,0.63,NaN,0.45,1.0,6.0,0.0,0.0,1.0,0.17,2.0,N
MOVE PLACE_2_5 PLACE_3_5,0.57,0.44,0.55,0.4,NaN,0.44,1.0,6.0,0.08,0.0,1.0,0.25,2.0,N
MOVE PLACE_3_5 PLACE_4_5,0.62,0.44,0.57,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_4_5 PLACE_5_5,0.53,0.4,0.5,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.67,0.8,0.57,0.83,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.67,0.67,0.6,0.73,NaN,0.29,1.0,6.0,0.0,0.1,1.0,0.33,2.0,N
MOVE PLACE_3_4 PLACE_4_4,0.4,0.44,0.4,0.4,NaN,0.44,1.0,6.0,0.33,0.0,1.0,0.25,2.0,N
MOVE PLACE_4_4 PLACE_5_4,0.5,0.44,0.46,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_5_4 PLACE_5_5,0.53,0.44,0.5,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.67,0.8,0.57,0.83,NaN,0.29,1.0,6.0,0.0,0.2,1.0,0.42,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.67,0.67,0.6,0.73,NaN,0.29,1.0,6.0,0.0,0.1,1.0,0.33,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.55,0.44,0.55,0.4,NaN,0.44,1.0,6.0,0.08,0.0,1.0,0.25,2.0,N
MOVE PLACE_3_5 PLACE_4_5,0.55,0.44,0.57,0.4,NaN,0.45,1.0,6.0,0.5,0.1,1.0,0.33,2.0,N
MOVE PLACE_4_5 PLACE_5_5,0.53,0.4,0.5,0.5,NaN,0.55,1.0,6.0,0.55,0.0,1.0,0.0,2.0,N
