@relation tk_aggregate

@attribute R1 numeric
@attribute D1 numeric
@attribute R2 numeric
@attribute D2 numeric
@attribute R3 numeric
@attribute D3 numeric
@attribute R4 numeric
@attribute D4 numeric
@attribute R5 numeric
@attribute D5 numeric
@attribute R6 numeric
@attribute D6 numeric
@attribute R7 numeric
@attribute Label {N,Y}

@data
0.71,0.34,0.75,0.42,0.2,0.16,9,12,0.31,0.45,0.44,0.54,2,N
0.64,0.29,0.73,0.38,0.2,0.16,9,12,0.38,0.5,0.5,0.58,2,N
0.52,0.29,0.64,0.38,0.2,0.16,9,12,0.44,0.45,0.56,0.54,2,N
0.5,0.33,0.57,0.41,0.2,0.16,9,12,0.5,0.36,0.61,0.46,2,N
0.5,0.39,0.57,0.46,0.2,0.16,9,12,0.31,0.36,0.44,0.46,2,N
0.38,0.38,0.57,0.44,0.33,0.16,9,12,0.38,0.45,0.5,0.54,2,N
0.33,0.29,0.31,0.38,0.33,0.27,9,12,0.44,0.45,0.56,0.54,2,N
0.41,0.27,0.49,0.3,0.29,0.27,11,12,0.5,0.5,0.59,0.58,2,N
0.38,0.27,0.44,0.25,0.14,0.27,13,12,0.54,0.55,0.62,0.62,2,N
0.33,0.26,0.4,0.25,0.13,0.27,15,12,0.71,0.41,0.77,0.5,2,N
0.38,0.26,0.43,0.33,0.11,0.35,17,12,0.72,0.45,0.76,0.5,2,N
0.63,0.33,0.75,0.43,0.25,0.19,7,10,0.25,0.33,0.43,0.45,2,N
0.6,0.33,0.67,0.43,0.25,0.19,7,10,0.33,0.39,0.5,0.5,2,N
0.6,0.38,0.67,0.46,0.25,0.19,7,10,0.08,0.28,0.29,0.4,2,N
0.47,0.43,0.67,0.5,0.4,0.19,7,10,0.17,0.28,0.36,0.4,2,N
0.4,0.43,0.36,0.5,0.4,0.31,7,10,0.25,0.33,0.43,0.45,2,N
0.48,0.31,0.55,0.29,0.33,0.31,9,10,0.38,0.39,0.5,0.5,2,N
0.43,0.31,0.5,0.29,0.17,0.31,11,10,0.45,0.44,0.55,0.55,2,N
0.38,0.31,0.44,0.29,0.15,0.31,13,10,0.67,0.5,0.73,0.6,2,N
0.39,0.31,0.45,0.38,0.13,0.4,15,10,0.68,0.33,0.73,0.4,2,N
0.75,0.45,0.89,0.54,0.57,0.23,4,8,0,0.07,0,0.25,2,N
0.57,0.5,0.5,0.57,0.57,0.23,4,8,0,0.07,0,0.25,2,N
0.63,0.5,0.7,0.57,0.44,0.37,6,8,0,0.14,0.25,0.31,2,N
0.55,0.36,0.62,0.33,0.22,0.36,8,8,0.21,0.21,0.38,0.38,2,N
0.46,0.36,0.53,0.33,0.19,0.36,10,8,0.56,0.29,0.65,0.44,2,N
0.41,0.36,0.49,0.33,0.16,0.36,12,8,0.59,0.36,0.67,0.5,2,N
0.46,0.36,0.51,0.43,0.14,0.46,14,8,0.62,0.14,0.68,0.25,2,N
0.67,0.6,0.73,0.67,0.29,0.45,6,6,0.2,0,0.42,0.08,2,N
0.67,0.44,0.73,0.4,0.29,0.45,6,6,0,0,0.17,0.17,2,N
0.54,0.44,0.73,0.4,0.44,0.45,6,6,0,0,0.25,0.25,2,N
0.44,0.44,0.4,0.4,0.44,0.45,6,6,0.1,0.1,0.33,0.33,2,N
0.52,0.44,0.59,0.5,0.36,0.55,8,6,0.29,0,0.44,0,2,N
0.75,0.57,0.89,0.5,0.57,0.57,4,4,0,0,0,0,2,N
0.57,0.57,0.5,0.5,0.57,0.57,4,4,0,0,0,0,2,N
0.63,0.57,0.7,0.6,0.44,0.67,6,4,0,0,0.25,0,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
