ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_3 PLACE_2_4,0.71,0.34,0.75,0.42,0.2,0.16,9.0,12.0,0.31,0.45,0.44,0.54,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.64,0.29,0.73,0.38,0.2,0.16,9.0,12.0,0.38,0.5,0.5,0.58,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.52,0.29,0.64,0.38,0.2,0.16,9.0,12.0,0.44,0.45,0.56,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.33,0.57,0.41,0.2,0.16,9.0,12.0,0.5,0.36,0.61,0.46,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.5,0.39,0.57,0.46,0.2,0.16,9.0,12.0,0.31,0.36,0.44,0.46,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.38,0.38,0.57,0.44,0.33,0.16,9.0,12.0,0.38,0.45,0.5,0.54,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.33,0.29,0.31,0.38,0.33,0.27,9.0,12.0,0.44,0.45,0.56,0.54,2.0,N
MOVE PLACE_2_10 PLACE_2_11,0.41,0.27,0.49,0.3,0.29,0.27,11.0,12.0,0.5,0.5,0.59,0.58,2.0,N
MOVE PLACE_2_11 PLACE_2_12,0.38,0.27,0.44,0.25,0.14,0.27,13.0,12.0,0.54,0.55,0.62,0.62,2.0,N
MOVE PLACE_2_12 PLACE_2_13,0.33,0.26,0.4,0.25,0.13,0.27,15.0,12.0,0.71,0.41,0.77,0.5,2.0,N
MOVE PLACE_2_13 PLACE_2_14,0.38,0.26,0.43,0.33,0.11,0.35,17.0,12.0,0.72,0.45,0.76,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.63,0.33,0.75,0.43,0.25,0.19,7.0,10.0,0.25,0.33,0.43,0.45,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.6,0.33,0.67,0.43,0.25,0.19,7.0,10.0,0.33,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.6,0.38,0.67,0.46,0.25,0.19,7.0,10.0,0.08,0.28,0.29,0.4,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.47,0.43,0.67,0.5,0.4,0.19,7.0,10.0,0.17,0.28,0.36,0.4,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.4,0.43,0.36,0.5,0.4,0.31,7.0,10.0,0.25,0.33,0.43,0.45,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.48,0.31,0.55,0.29,0.33,0.31,9.0,10.0,0.38,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.43,0.31,0.5,0.29,0.17,0.31,11.0,10.0,0.45,0.44,0.55,0.55,2.0,N
MOVE PLACE_2_10 PLACE_2_11,0.38,0.31,0.44,0.29,0.15,0.31,13.0,10.0,0.67,0.5,0.73,0.6,2.0,N
MOVE PLACE_2_11 PLACE_2_12,0.39,0.31,0.45,0.38,0.13,0.4,15.0,10.0,0.68,0.33,0.73,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.75,0.45,0.89,0.54,0.57,0.23,4.0,8.0,0.0,0.07,0.0,0.25,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.57,0.5,0.5,0.57,0.57,0.23,4.0,8.0,0.0,0.07,0.0,0.25,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.63,0.5,0.7,0.57,0.44,0.37,6.0,8.0,0.0,0.14,0.25,0.31,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.55,0.36,0.62,0.33,0.22,0.36,8.0,8.0,0.21,0.21,0.38,0.38,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.46,0.36,0.53,0.33,0.19,0.36,10.0,8.0,0.56,0.29,0.65,0.44,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.41,0.36,0.49,0.33,0.16,0.36,12.0,8.0,0.59,0.36,0.67,0.5,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.46,0.36,0.51,0.43,0.14,0.46,14.0,8.0,0.62,0.14,0.68,0.25,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.67,0.6,0.73,0.67,0.29,0.45,6.0,6.0,0.2,0.0,0.42,0.08,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.67,0.44,0.73,0.4,0.29,0.45,6.0,6.0,0.0,0.0,0.17,0.17,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.54,0.44,0.73,0.4,0.44,0.45,6.0,6.0,0.0,0.0,0.25,0.25,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.44,0.44,0.4,0.4,0.44,0.45,6.0,6.0,0.1,0.1,0.33,0.33,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.52,0.44,0.59,0.5,0.36,0.55,8.0,6.0,0.29,0.0,0.44,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.75,0.57,0.89,0.5,0.57,0.57,4.0,4.0,0.0,0.0,0.0,0.0,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.57,0.57,0.5,0.5,0.57,0.57,4.0,4.0,0.0,0.0,0.0,0.0,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.63,0.57,0.7,0.6,0.44,0.67,6.0,4.0,0.0,0.0,0.25,0.0,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_2_5,0.33,0.5,0.43,0.56,0.19,0.16,10.0,12.0,0.39,0.41,0.5,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.38,0.5,0.46,0.56,0.19,0.16,10.0,12.0,0.28,0.45,0.4,0.54,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.43,0.59,0.5,0.63,0.19,0.16,10.0,12.0,0.28,0.5,0.4,0.58,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.43,0.52,0.5,0.61,0.31,0.16,10.0,12.0,0.33,0.55,0.45,0.62,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.31,0.46,0.29,0.56,0.31,0.16,10.0,12.0,0.39,0.59,0.5,0.67,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.31,0.4,0.29,0.47,0.31,0.16,10.0,12.0,0.44,0.64,0.55,0.71,2.0,N
MOVE PLACE_2_10 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.38,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.33,0.56,0.43,0.63,0.19,0.16,10.0,12.0,0.33,0.36,0.45,0.46,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.52,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.55,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.52,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.55,0.5,0.62,0.58,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.56,0.29,0.65,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.61,0.29,0.68,0.38,0.16,0.16,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_7 PLACE_3_8,0.5,0.29,0.61,0.38,0.16,0.16,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_8 PLACE_3_9,0.5,0.29,0.56,0.38,0.16,0.16,12.0,12.0,0.64,0.45,0.71,0.54,2.0,N
MOVE PLACE_3_9 PLACE_3_10,0.4,0.27,0.47,0.25,0.16,0.16,12.0,12.0,0.5,0.5,0.58,0.58,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.34,0.27,0.47,0.25,0.27,0.27,12.0,12.0,0.55,0.55,0.62,0.62,2.0,N
MOVE PLACE_3_11 PLACE_3_12,0.27,0.27,0.25,0.25,0.27,0.27,12.0,12.0,0.59,0.59,0.67,0.67,2.0,N
MOVE PLACE_3_12 PLACE_3_13,0.26,0.27,0.42,0.25,0.24,0.27,14.0,12.0,0.62,0.45,0.68,0.5,2.0,N
